,Freq,Reporter,Partner,ProductCode,Indicator,Year,Value,DataSource
1184,Annual,Belize,North America,Fuels,Import Trade Value (US$ Thousand),2017,12178.309605,WITS - UNSD Comtrade
1719,Annual,Belize,United States,Fuels,Import Trade Value (US$ Thousand),2017,12171.304845,WITS - UNSD Comtrade
496,Annual,Samoa,Japan,Machinery and Transport Equipment,Import Trade Value (US$ Thousand),2017,12158.515758444,WITS - UNSD Comtrade
2018,Annual,Mongolia,Russian Federation,Animal,Import Trade Value (US$ Thousand),2017,12157.14901,WITS - UNSD Comtrade
452,Annual,"Bahamas, The",Germany,Mach and Elec,Import Trade Value (US$ Thousand),2017,12152.24115,WITS - UNSD Comtrade
2478,Annual,"Macedonia, FYR","Serbia, FR(Serbia/Montenegro)",Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12148.51569,WITS - UNSD Comtrade
682,Annual,Malta,Europe and Central Asia,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,12136.0638522479,WITS - UNSD Comtrade
510,Annual,Mauritania,Europe and Central Asia,Textiles,Import Trade Value (US$ Thousand),2017,12135.313519453,WITS - UNSD Comtrade
142,Annual,Cape Verde,Brazil,Food Products,Import Trade Value (US$ Thousand),2017,12133.0706778441,WITS - UNSD Comtrade
1543,Annual,Guatemala,Mexico,Minerals,Import Trade Value (US$ Thousand),2017,12125.955,WITS - UNSD Comtrade
241,Annual,Samoa,East Asia and Pacific,Plastic or Rubber,Import Trade Value (US$ Thousand),2017,12122.605258071,WITS - UNSD Comtrade
107,Annual,Mauritania,Belgium,Animal,Import Trade Value (US$ Thousand),2017,12108.2898265931,WITS - UNSD Comtrade
2124,Annual,Guyana,United States,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12106.5449013023,WITS - UNSD Comtrade
484,Annual,Sierra Leone,East Asia and Pacific,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12094.2448217707,WITS - UNSD Comtrade
699,Annual,Samoa,New Zealand,Raw materials,Import Trade Value (US$ Thousand),2017,12080.764822698,WITS - UNSD Comtrade
410,Annual,Antigua and Barbuda,China,Capital goods,Import Trade Value (US$ Thousand),2017,12079.5860796611,WITS - UNSD Comtrade
497,Annual,Mauritania,Europe and Central Asia,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12062.0921448662,WITS - UNSD Comtrade
482,Annual,Andorra,East Asia and Pacific,Capital goods,Import Trade Value (US$ Thousand),2017,12057.1821901707,WITS - UNSD Comtrade
927,Annual,Costa Rica,Dominican Republic,Fuels,Import Trade Value (US$ Thousand),2017,12045.9206374133,WITS - UNSD Comtrade
942,Annual,Costa Rica,Dominican Republic,Fuel,Import Trade Value (US$ Thousand),2017,12045.9206374133,WITS - UNSD Comtrade
1849,Annual,St. Lucia,World,Minerals,Import Trade Value (US$ Thousand),2017,12017.8391080748,WITS - UNSD Comtrade
826,Annual,Barbados,East Asia and Pacific,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,12010.5415,WITS - UNSD Comtrade
1544,Annual,Brunei,Malaysia,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,11970.6388341008,WITS - UNSD Comtrade
524,Annual,Botswana,East Asia and Pacific,Miscellaneous,Import Trade Value (US$ Thousand),2017,11942.4006019281,WITS - UNSD Comtrade
501,Annual,Suriname,Europe and Central Asia,Miscellaneous,Import Trade Value (US$ Thousand),2017,11939.3428106717,WITS - UNSD Comtrade
2395,Annual,Niger,World,Stone and Glass,Import Trade Value (US$ Thousand),2017,11920.60887,WITS - UNSD Comtrade
3038,Annual,Barbados,World,Ores and Metals,Import Trade Value (US$ Thousand),2017,11917.0335,WITS - UNSD Comtrade
2120,Annual,St. Vincent and the Grenadines,United States,Animal,Import Trade Value (US$ Thousand),2017,11916.9784237504,WITS - UNSD Comtrade
2237,Annual,Guyana,World,Footwear,Import Trade Value (US$ Thousand),2017,11909.3814657302,WITS - UNSD Comtrade
617,Annual,Niger,East Asia and Pacific,Textiles and Clothing,Import Trade Value (US$ Thousand),2017,11899.88912,WITS - UNSD Comtrade
705,Annual,"Congo, Dem. Rep.",East Asia and Pacific,Footwear,Import Trade Value (US$ Thousand),2017,11895.5594586642,WITS - UNSD Comtrade
2214,Annual,Tanzania,North America,Agricultural Raw Materials,Import Trade Value (US$ Thousand),2017,11892.485,WITS - UNSD Comtrade
2966,Annual,El Salvador,Vietnam,Footwear,Import Trade Value (US$ Thousand),2017,11884.51482,WITS - UNSD Comtrade
