ReporterEconomyCode,PartnerEconomyCode,Year,Value,r_lat,r_long,Reporter,p_lat,p_long,Partner,ProductOrSectorCode
450,894,2017,62485.0,-18.766947,46.869107,Madagascar,-13.133897,27.849332,Zambia,01
516,894,2017,46187.0,-22.95764,18.49041,Namibia,-13.133897,27.849332,Zambia,01
462,356,2017,55957.0,3.202778,73.22068,Maldives,20.593684,78.96288,India,01
462,144,2017,14355.0,3.202778,73.22068,Maldives,7.873054,80.771797,Sri Lanka,01
462,686,2017,10707.0,3.202778,73.22068,Maldives,14.497401,-14.452362,Senegal,01
466,686,2017,193002.0,17.570692,-3.996166,Mali,14.497401,-14.452362,Senegal,01
478,686,2017,14699.0,21.00789,-10.940835,Mauritania,14.497401,-14.452362,Senegal,01
466,504,2017,122763.0,17.570692,-3.996166,Mali,31.791702,-7.09262,Morocco,01
478,504,2017,4292.0,21.00789,-10.940835,Mauritania,31.791702,-7.09262,Morocco,01
498,208,2017,1330629.0,47.411631,28.369885,Moldova,56.26392,9.501785,Denmark,01
578,208,2017,10745762.0,60.472024,8.468946,Norway,56.26392,9.501785,Denmark,01
804,208,2017,4644492.0,48.379433,31.16558,Ukraine,56.26392,9.501785,Denmark,01
558,340,2017,682823.0,12.865416,-85.207229,Nicaragua,15.199999,-86.241905,Honduras,01
558,222,2017,613831.0,12.865416,-85.207229,Nicaragua,13.794185,-88.89653,El Salvador,01
578,752,2017,4026583.0,60.472024,8.468946,Norway,60.128161,18.643501,Sweden,01
578,372,2017,2543926.0,60.472024,8.468946,Norway,53.41291,-8.24389,Ireland,01
591,170,2017,153764.0,8.537981,-80.782127,Panama,4.570868,-74.297333,Colombia,01
634,784,2017,12302304.0,25.354826,51.183884,Qatar,23.424076,53.847818,United Arab Emirates,01
690,784,2017,3460.0,-4.679574,55.491977,Seychelles,23.424076,53.847818,United Arab Emirates,01
682,736,2017,568324772.0,23.885942,45.079162,Saudi Arabia,12.862807,30.217636,Sudan,01
818,736,2017,21058770.0,26.820553,30.802498,"Egypt, Arab Rep.",12.862807,30.217636,Sudan,01
682,706,2017,80733060.0,23.885942,45.079162,Saudi Arabia,5.152149,46.199616,Somalia,01
